gradient_wrt_Variable_10:0/add_4_grad/add/reduce_sum_y,sum,199161,

add_3,add,197789,

gradient_wrt_Variable:0/relu__2_grad/sum,sum,197318,

gradient_wrt_Variable_5:0/relu__2_grad/sum,sum,196977,

gradient_wrt_Variable_3:0/add_3_grad/add/reduce_sum_x,sum,196216,

gradient_wrt_Variable_3:0/relu__2_grad/sum,sum,194753,

gradient_wrt_Variable_6:0/relu__2_grad/sum,sum,194643,

Adam/update_Variable_8:0/apply_adam,apply_adam,192880,

gradient_wrt_Variable_4:0/add_2_grad/add/reduce_sum_x,sum,192329,

gradient_wrt_Variable_2:0/mat_mul_grad/mat_mul,mat_mul,191797,

gradient_wrt_Variable_7:0/mean_grad/equal,equal,191277,

mat_mul_1,mat_mul,190054,

gradient_wrt_Variable_3:0/mat_mul_grad/mat_mul,mat_mul,189323,

Variable_5:0/Adam_1,variable_v2,189102,

Variable:0,variable_v2,188893,

gradient_wrt_Variable_6:0/relu__2_grad/reshape,reshape,188342,

gradient_wrt_Variable:0/mean_grad/equal,equal,188201,

gradient_wrt_Variable_5:0/relu__2_grad/reshape,reshape,187900,

gradient_wrt_Variable_5:0/relu__3_grad/zeros,zeros,187530,

gradient_wrt_Variable_5:0/mat_mul_1_grad/mat_mul,mat_mul,186698,

gradient_wrt_Variable_6:0/add_4_grad/reshape,reshape,186006,

gradient_wrt_Variable:0/mean_grad/max_1,max,185586,

add_4,add,185456,

Variable_3:0,variable_v2,185125,

gradient_wrt_Variable_8:0/mean_grad/max_1,max,184945,

gradient_wrt_Variable_6:0/mat_mul_grad/mat_mul,mat_mul,184815,

gradient_wrt_Variable_4:0/mean_grad/max_1,max,184695,

gradient_wrt_Variable_5:0/mat_mul_grad/mat_mul,mat_mul,184584,

gradient_wrt_Variable_3:0/relu__1_grad/greater_equal,greater_equal,184194,

gradient_wrt_Variable:0/add_3_grad/add/reduce_sum_x,sum,183512,

